מילה	כמות	העדפה דיאטטית
עם	38608	טבעוני
בצל	21594	טבעוני
סלט	20748	טבעוני
עגבניות	18593	טבעוני
רוטב	17917	טבעוני
קולה	16795	טבעוני
מוגש	14286	טבעוני
לבחירה	14172	טבעוני
בקבוק	13716	טבעוני
שוקולד	13182	צמחוני
פיצה	12466	צמחוני
פחית	11720	טבעוני
מים	11181	טבעוני
זירו	11010	טבעוני
מלפפון	10916	טבעוני
גרם	10741	טבעוני
פטריות	10628	טבעוני
שום	10213	טבעוני
ליטר	9939	טבעוני
חסה	9435	טבעוני
ספרייט	9283	טבעוני
גבינה	8872	צמחוני
של	8866	טבעוני
ברוטב	8843	טבעוני
זית	8621	טבעוני
סגול	8379	טבעוני
חומוס	8325	טבעוני
ירוק	8194	טבעוני
שמנת	8167	צמחוני
טחינה	8103	טבעוני
בטטה	7996	טבעוני
קוקה	7963	טבעוני
מוצרלה	7907	צמחוני
מל	7638	טבעוני
ירקות	7475	טבעוני
על	7441	טבעוני
יח	7429	טבעוני
לבן	7426	טבעוני
גבינת	7146	צמחוני
גדול	6910	טבעוני
שמן	6776	טבעוני
and	6737	טבעוני
ציפס	6375	טבעוני
גזר	6239	טבעוני
ענבים	6051	טבעוני
בטעם	6043	טבעוני
לימון	6020	טבעוני
with	5925	טבעוני
קרם	5849	טבעוני
אורז	5830	טבעוני
קטן	5799	טבעוני
עגבניה	5703	טבעוני
ללא	5677	טבעוני
טבעוני	5625	טבעוני
תוספות	5587	טבעוני
לחם	5584	טבעוני
זכוכית	5284	טבעוני
שרי	5179	טבעוני
פסטה	5119	טבעוני
חריף	5085	טבעוני
חלב	5045	צמחוני
סודה	4970	טבעוני
תוספת	4843	טבעוני
תפוח	4818	טבעוני
ביצה	4807	צמחוני
פלפל	4650	טבעוני
אפרסק	4640	טבעוני
כרוב	4586	טבעוני
עגבנייה	4581	טבעוני
אבוקדו	4575	טבעוני
יחידות	4488	טבעוני
פריגת	4484	טבעוני
טופו	4453	טבעוני
בחרו	4443	טבעוני
בולגרית	4419	צמחוני
זיתים	4301	טבעוני
פטרוזיליה	4177	טבעוני
במילוי	4162	טבעוני
פסטו	4156	טבעוני
מארז	4151	טבעוני
קלוי	4114	טבעוני
עוגיות	4095	טבעוני
קילו	3991	טבעוני
הבית	3874	טבעוני
בננה	3833	טבעוני
פטה	3801	צמחוני
ורוטב	3784	טבעוני
גר	3783	טבעוני
פאנטה	3775	טבעוני
מגיע	3732	טבעוני
עוגת	3710	טבעוני
חציל	3706	טבעוני
וניל	3675	טבעוני
קוקוס	3586	טבעוני
אישי	3568	טבעוני
כדורי	3538	טבעוני
גלוטן	3538	טבעוני
בתוספת	3526	טבעוני
גלידה	3508	טבעוני
תות	3470	טבעוני
תפוזים	3439	טבעוני
ובצל	3418	טבעוני
חמוצים	3370	טבעוני
אדום	3336	טבעוני
קלמטה	3254	טבעוני
קשה	3242	טבעוני
חצי	3241	טבעוני
ניתן	3233	טבעוני
צהובה	3215	טבעוני
בליווי	3180	טבעוני
שקדים	3114	טבעוני
מגש	3091	טבעוני
טבעונית	3051	טבעוני
בזיליקום	3046	טבעוני
עלי	3004	טבעוני
פירות	3000	טבעוני
משפחתית	2999	טבעוני
פלאפל	2984	טבעוני
בירה	2939	טבעוני
מינרליים	2924	טבעוני
sauce	2922	טבעוני
בציפוי	2918	טבעוני
גבינות	2901	טבעוני
תירס	2859	טבעוני
צמחוני	2843	טבעוני
חמוץ	2792	טבעוני
טוסט	2791	טבעוני
יוגורט	2772	טבעוני
כריך	2772	טבעוני
טרי	2748	טבעוני
אננס	2732	טבעוני
בצד	2727	טבעוני
בצק	2716	טבעוני
מנגו	2715	טבעוני
בוטנים	2701	טבעוני
ארוחת	2667	טבעוני
זיתי	2640	טבעוני
תרד	2634	טבעוני
דיאט	2632	טבעוני
XL	2604	טבעוני
שקשוקה	2580	טבעוני
מינרלים	2558	טבעוני
אדמה	2542	טבעוני
מיקס	2506	טבעוני
שעועית	2505	טבעוני
צילי	2494	טבעוני
קוביות	2491	טבעוני
סויה	2479	טבעוני
רביולי	2476	טבעוני
in	2474	טבעוני
תיבול	2470	טבעוני
רטבים	2462	טבעוני
פרמזן	2423	צמחוני
ממרח	2397	טבעוני
אגוזי	2389	טבעוני
אטריות	2379	טבעוני
אישית	2364	טבעוני
פיתה	2361	טבעוני
מרק	2344	טבעוני
חלבי	2335	טבעוני
רול	2330	טבעוני
שחורים	2316	טבעוני
ביצים	2306	צמחוני
קלויים	2286	טבעוני
עד	2275	טבעוני
סלטים	2267	טבעוני
חצילים	2263	טבעוני
פיתות	2220	טבעוני
בסיס	2194	טבעוני
סלק	2182	טבעוני
טבעות	2182	טבעוני
ml	2179	טבעוני
שתי	2170	טבעוני
פיוז	2138	טבעוני
כוסברה	2132	טבעוני
טי	2124	טבעוני
ראנץ	2112	טבעוני
וגבינת	2093	טבעוני
ולימון	2092	טבעוני
נענע	2086	טבעוני
פריך	2063	טבעוני
מיץ	2054	טבעוני
onion	2033	טבעוני
טריות	2024	טבעוני
שומשום	2014	טבעוני
פלפלים	2005	טבעוני
lettuce	1963	טבעוני
מטוגן	1956	טבעוני
קציצות	1952	טבעוני
לצד	1948	טבעוני
ארטישוק	1932	טבעוני
אגוזים	1931	טבעוני
ירוקה	1925	טבעוני
שחורה	1908	טבעוני
בהרכבה	1904	טבעוני
טעמים	1889	טבעוני
חמאה	1887	טבעוני
במשקל	1884	טבעוני
יין	1880	טבעוני
רוזה	1868	טבעוני
תערובת	1858	טבעוני
או	1856	טבעוני
מיונז	1847	צמחוני
ושמן	1845	טבעוני
עדשים	1831	טבעוני
יפס	1831	טבעוני
לוז	1813	טבעוני
מאקי	1793	טבעוני
סוכר	1788	טבעוני
מעל	1779	טבעוני
סחוט	1774	טבעוני
מתוק	1771	טבעוני
בתנור	1744	טבעוני
חמאת	1741	צמחוני
יווני	1735	טבעוני
נבטים	1728	טבעוני
מלך	1706	טבעוני
bun	1688	טבעוני
טריים	1672	טבעוני
כרובית	1660	טבעוני
איולי	1652	טבעוני
רויאל	1647	טבעוני
מכיל	1646	טבעוני
תפוחים	1641	טבעוני
ופטריות	1639	טבעוני
מוס	1629	טבעוני
פיוזטי	1626	טבעוני
ירוקים	1623	טבעוני
חביתה	1616	צמחוני
נביעות	1607	טבעוני
מומלץ	1600	טבעוני
served	1597	טבעוני
קצוץ	1592	טבעוני
מתובל	1590	טבעוני
פיסטוק	1574	טבעוני
לא	1572	טבעוני
ופטרוזיליה	1569	טבעוני
יער	1568	טבעוני
of	1559	טבעוני
מק	1554	טבעוני
את	1544	טבעוני
קריספי	1537	טבעוני
זה	1531	טבעוני
תמר	1530	טבעוני
